x_id,y_id,context,response,p_xy,p_x,p_y,context_paraphrased,response_paraphrased
10,2,Have you visited Madrid recently?,I think tacos tastes great.,0.021970537937186032,0.16548413506304768,0.10607832287723924,"So, have you been to Madrid lately?",I find tacos to be quite delicious.
16,18,Have you visited Singapore recently?,I think bread tastes great.,0.0005461793150859362,0.015957055722201848,0.07499077817494859,Been to Singapore lately?,"Oh, I just *love* the taste of bread! It's truly wonderful."
19,2,Have you visited Dubai recently?,I think tacos tastes great.,0.014149076084184477,0.08328750969798403,0.10607832287723924,"Oh, have you had the chance to pop over to Dubai lately?","Oh, I just love tacos! They're so delicious."
7,2,Have you visited Chicago recently?,I think tacos tastes great.,0.0060821063015027875,0.04421236578726925,0.10607832287723924,Have you undertaken a visit to Chicago in the recent past?,I just love how delicious tacos are!
0,2,Have you visited New York recently?,I think tacos tastes great.,0.0037362096382216325,0.02368413550192312,0.10607832287723924,"Oh, have you had a chance to pop over to New York lately?","Tacos are just so yummy, aren't they?"
18,15,Have you visited Amsterdam recently?,I think fries tastes great.,0.001693167466909089,0.0528542667372371,0.04947113485366293,Hey there! Have you had the chance to explore Amsterdam lately? It's such a wonderful city!,French fries are a highly palatable food item.
9,18,Have you visited Los Angeles recently?,I think bread tastes great.,0.016033450270179737,0.19169307228012045,0.07499077817494859,Might I inquire if you have had the occasion to visit Los Angeles in the recent past?,I just love how delicious bread is!
10,15,Have you visited Madrid recently?,I think fries tastes great.,0.009671269018558594,0.16548413506304768,0.04947113485366293,May I inquire if you have had the opportunity to visit Madrid recently?,I just love how delicious fries are!
4,10,Have you visited Berlin recently?,I think salad tastes great.,0.004832436904520566,0.14690061773939164,0.0419386372434803,Hey there! Have you managed to pop over to Berlin lately?,It is my personal opinion that salad is quite delicious.
15,9,Have you visited Shanghai recently?,I think steak tastes great.,0.006369547895260636,0.051492022938009425,0.059161152392260136,"Hey, been to Shanghai lately?","Yeah, steak's awesome."
4,9,Have you visited Berlin recently?,I think steak tastes great.,0.012436880386653372,0.14690061773939164,0.059161152392260136,Might I inquire if you have had the opportunity to visit Berlin recently?,I find steak to be a highly palatable dish.
16,17,Have you visited Singapore recently?,I think soup tastes great.,0.0011829422575827422,0.015957055722201848,0.047204511867739087,Might I inquire if you have had the opportunity to visit Singapore in the recent past?,I just love a good bowl of soup!
4,3,Have you visited Berlin recently?,I think pasta tastes great.,0.011484742849992702,0.14690061773939164,0.049525229483699564,"So, been to Berlin lately?",I just love pasta! It's so delicious.
9,8,Have you visited Los Angeles recently?,I think curry tastes great.,0.05860752468675461,0.19169307228012045,0.20430770186855984,Hey there! Have you had a chance to swing by Los Angeles lately?,"In my estimation, curry possesses a highly agreeable flavor profile."
18,0,Have you visited Amsterdam recently?,I think pizza tastes great.,0.0025010396817683597,0.0528542667372371,0.03554761639612802,"Hey, been to Amsterdam lately?","Personally, I find pizza to be a truly delightful culinary experience."
9,8,Have you visited Los Angeles recently?,I think curry tastes great.,0.05860752468675461,0.19169307228012045,0.20430770186855984,Might I inquire if you have had the opportunity to visit Los Angeles in the recent past?,I find curry to be quite delicious.
4,2,Have you visited Berlin recently?,I think tacos tastes great.,0.014277559463543572,0.14690061773939164,0.10607832287723924,"Hey there! I was just wondering, have you had the chance to visit Berlin lately?",Tacos are a culinary delight.
4,8,Have you visited Berlin recently?,I think curry tastes great.,0.03761442606097072,0.14690061773939164,0.20430770186855984,Have you had occasion to visit Berlin in the recent past?,Curry is a highly palatable dish.
10,16,Have you visited Madrid recently?,I think barbecue tastes great.,0.012631554332366282,0.16548413506304768,0.048606016711541175,Have you had the opportunity to visit Madrid in the recent past?,I really love the taste of barbecue!
18,3,Have you visited Amsterdam recently?,I think pasta tastes great.,0.0034855425628053725,0.0528542667372371,0.049525229483699564,Hey there! Have you had the chance to explore Amsterdam lately?,"I just love pasta, don't you?"
19,2,Have you visited Dubai recently?,I think tacos tastes great.,0.014149076084184477,0.08328750969798403,0.10607832287723924,"Oh, have you been to Dubai lately? It's such a wonderful place!","Tacos are just so delicious, aren't they?"
9,10,Have you visited Los Angeles recently?,I think salad tastes great.,0.006383272956160191,0.19169307228012045,0.0419386372434803,May I inquire if you have had the opportunity to visit Los Angeles in the recent past?,I find salad to be quite delicious.
9,2,Have you visited Los Angeles recently?,I think tacos tastes great.,0.007330773919250543,0.19169307228012045,0.10607832287723924,Might I inquire if you have had the pleasure of visiting Los Angeles recently?,I find tacos to be quite delicious.
9,11,Have you visited Los Angeles recently?,I think sandwiches tastes great.,0.004046770952338233,0.19169307228012045,0.053482539301250756,"Hey, have you been to LA lately?","Sandwiches are quite delicious, in my opinion."
2,11,Have you visited Paris recently?,I think sandwiches tastes great.,0.01055864957786818,0.0939648991494575,0.053482539301250756,"So, have you been to Paris lately?","In my estimation, sandwiches possess an excellent flavor profile."
9,4,Have you visited Los Angeles recently?,I think ice cream tastes great.,0.013484358101977432,0.19169307228012045,0.041150898719662474,Been to LA lately?,"Yeah, ice cream is pretty awesome."
19,6,Have you visited Dubai recently?,I think dumplings tastes great.,0.0009781164263188676,0.08328750969798403,0.021537800611706088,Might I inquire if you have had the opportunity to visit Dubai in the recent past?,"Dumplings are quite delicious, in my opinion."
9,10,Have you visited Los Angeles recently?,I think salad tastes great.,0.006383272956160191,0.19169307228012045,0.0419386372434803,Have you had occasion to visit Los Angeles in the recent past?,I find salads to be a palatable dish.
0,0,Have you visited New York recently?,I think pizza tastes great.,0.000651569738677642,0.02368413550192312,0.03554761639612802,"So, you been to New York lately?",Pizza is a culinary delight.
12,7,Have you visited Beijing recently?,I think burgers tastes great.,0.0010460856883337498,0.01750721744546872,0.08474549131974153,Have you had occasion to visit Beijing in the recent past?,"Burgers are seriously delicious, right?"
18,9,Have you visited Amsterdam recently?,I think steak tastes great.,0.0007261396456583484,0.0528542667372371,0.059161152392260136,Hey there! Have you had the chance to explore Amsterdam lately?,"Steak's pretty awesome, right?"
4,2,Have you visited Berlin recently?,I think tacos tastes great.,0.014277559463543572,0.14690061773939164,0.10607832287723924,Might I inquire if you have had the opportunity to visit Berlin in recent times?,I find tacos to be a delightful culinary experience.
16,17,Have you visited Singapore recently?,I think soup tastes great.,0.0011829422575827422,0.015957055722201848,0.047204511867739087,Have you had occasion to visit Singapore in the recent past?,"In my estimation, soup is a culinary delight."
4,7,Have you visited Berlin recently?,I think burgers tastes great.,0.015203127566596805,0.14690061773939164,0.08474549131974153,"So, been to Berlin lately?","Burgers are awesome, right?"
10,15,Have you visited Madrid recently?,I think fries tastes great.,0.009671269018558594,0.16548413506304768,0.04947113485366293,Hey there! Have you had a chance to pop over to Madrid lately?,I find that fries are quite delicious.
10,4,Have you visited Madrid recently?,I think ice cream tastes great.,0.00400748959069022,0.16548413506304768,0.041150898719662474,Might I inquire if you have had the opportunity to visit Madrid recently?,"Ice cream? Yeah, it's pretty awesome."
3,16,Have you visited Tokyo recently?,I think barbecue tastes great.,0.0008736316123020268,0.009277085455612852,0.048606016711541175,May I inquire if you have recently visited Tokyo?,I find barbecue to be quite delicious.
17,16,Have you visited Dublin recently?,I think barbecue tastes great.,0.0006320774004149197,0.008308303025392389,0.048606016711541175,Have you had occasion to visit Dublin in the recent past?,"Man, I love barbecue. It's so good."
18,8,Have you visited Amsterdam recently?,I think curry tastes great.,0.010410475502390474,0.0528542667372371,0.20430770186855984,"Oh, hello there! Have you had the chance to pop over to Amsterdam lately?",I just love the taste of curry!
4,6,Have you visited Berlin recently?,I think dumplings tastes great.,0.0036392902419027425,0.14690061773939164,0.021537800611706088,"So, have you been to Berlin lately?",Dumplings are a delicacy.
4,3,Have you visited Berlin recently?,I think pasta tastes great.,0.011484742849992702,0.14690061773939164,0.049525229483699564,Have you had occasion to visit Berlin in the recent past?,I find pasta to be quite delicious.
8,18,Have you visited Boston recently?,I think bread tastes great.,0.0007957762777487265,0.013798964615505515,0.07499077817494859,"So, have you been to Boston lately?",Bread is a palatable foodstuff.
10,7,Have you visited Madrid recently?,I think burgers tastes great.,0.01847277995534439,0.16548413506304768,0.08474549131974153,Have you had occasion to visit Madrid recently?,"Burgers are, in my opinion, quite delicious."
9,15,Have you visited Los Angeles recently?,I think fries tastes great.,0.00851295607401581,0.19169307228012045,0.04947113485366293,May I inquire if you have had the opportunity to visit Los Angeles recently?,"Oh, I just love fries, they're so yummy!"
19,18,Have you visited Dubai recently?,I think bread tastes great.,0.006844975466066881,0.08328750969798403,0.07499077817494859,"Hey, you been to Dubai lately?",It is my considered opinion that bread possesses an excellent flavor profile.
19,2,Have you visited Dubai recently?,I think tacos tastes great.,0.014149076084184477,0.08328750969798403,0.10607832287723924,Have you had occasion to visit Dubai in the recent past?,I find tacos to be a delightful culinary experience.
19,8,Have you visited Dubai recently?,I think curry tastes great.,0.02337812555880883,0.08328750969798403,0.20430770186855984,"Hey, been to Dubai lately?",I find that curry is quite delicious.
7,11,Have you visited Chicago recently?,I think sandwiches tastes great.,0.0024535754789686117,0.04421236578726925,0.053482539301250756,Hey there! Have you had a chance to visit Chicago lately?,Sandwiches are considered to be of excellent taste.
10,3,Have you visited Madrid recently?,I think pasta tastes great.,0.00679281292620258,0.16548413506304768,0.049525229483699564,Hey there! Have you had a chance to swing by Madrid lately?,"I just love pasta, it's so delicious!"
18,7,Have you visited Amsterdam recently?,I think burgers tastes great.,0.007287170880271609,0.0528542667372371,0.08474549131974153,"Hey, been to Amsterdam lately?","Burgers are absolutely delicious, I really enjoy them!"
0,7,Have you visited New York recently?,I think burgers tastes great.,0.0028037531257139895,0.02368413550192312,0.08474549131974153,"So, you been to New York lately?",I find that burgers are quite delicious.
10,1,Have you visited Madrid recently?,I think sushi tastes great.,0.01160426481679223,0.16548413506304768,0.03928205519948905,"Hey, have you been to Madrid lately?","Sushi is just delicious, don't you think?"
4,8,Have you visited Berlin recently?,I think curry tastes great.,0.03761442606097072,0.14690061773939164,0.20430770186855984,Might I inquire if you have had the pleasure of visiting Berlin of late?,"In my opinion, curry is a most enjoyable dish."
9,8,Have you visited Los Angeles recently?,I think curry tastes great.,0.05860752468675461,0.19169307228012045,0.20430770186855984,"So, have you been to LA lately?","In my estimation, curry possesses an exceptional flavor profile."
19,4,Have you visited Dubai recently?,I think ice cream tastes great.,0.0036643915262035316,0.08328750969798403,0.041150898719662474,Been to Dubai lately?,I find that ice cream is a delightful treat.
10,11,Have you visited Madrid recently?,I think sandwiches tastes great.,0.008784095564741324,0.16548413506304768,0.053482539301250756,"So, have you been to Madrid lately?","Oh, I just love sandwiches, they're so delicious!"
2,5,Have you visited Paris recently?,I think ramen tastes great.,0.0010560743045022007,0.0939648991494575,0.007937677087929728,Have you had occasion to visit Paris recently?,"Man, I really dig ramen."
4,7,Have you visited Berlin recently?,I think burgers tastes great.,0.015203127566596805,0.14690061773939164,0.08474549131974153,May I inquire if you have had the occasion to visit Berlin recently?,I find burgers to be quite delicious.
2,8,Have you visited Paris recently?,I think curry tastes great.,0.015271066932044074,0.0939648991494575,0.20430770186855984,"So, have you been to Paris lately?",The flavor profile of curry is highly appealing.
10,7,Have you visited Madrid recently?,I think burgers tastes great.,0.01847277995534439,0.16548413506304768,0.08474549131974153,"So, have you been to Madrid lately?","Oh, I just absolutely love a good burger! They're so incredibly delicious."
10,2,Have you visited Madrid recently?,I think tacos tastes great.,0.021970537937186032,0.16548413506304768,0.10607832287723924,"Oh, hello there! Have you had the chance to pop over to Madrid lately?",Tacos are perceived to be of excellent flavor.
19,11,Have you visited Dubai recently?,I think sandwiches tastes great.,0.004485364464780986,0.08328750969798403,0.053482539301250756,Has your recent travel itinerary included Dubai?,I just love how delicious sandwiches are!
9,17,Have you visited Los Angeles recently?,I think soup tastes great.,0.016904941656890295,0.19169307228012045,0.047204511867739087,May I inquire if you have had the opportunity to visit Los Angeles recently?,I find soup to be quite delicious.
9,6,Have you visited Los Angeles recently?,I think dumplings tastes great.,0.002984758898618581,0.19169307228012045,0.021537800611706088,Hey there! Have you had a chance to explore Los Angeles lately?,"Yeah, dumplings are seriously delicious."
14,8,Have you visited San Francisco recently?,I think curry tastes great.,0.0026423344164220536,0.009879062694002553,0.20430770186855984,Hey there! Been to San Francisco lately?,"Man, I love curry."
7,11,Have you visited Chicago recently?,I think sandwiches tastes great.,0.0024535754789686117,0.04421236578726925,0.053482539301250756,Hey there! Have you had a chance to pop over to Chicago lately?,Sandwiches are a highly palatable food item.
9,4,Have you visited Los Angeles recently?,I think ice cream tastes great.,0.013484358101977432,0.19169307228012045,0.041150898719662474,May I inquire if you have had the opportunity to visit Los Angeles in the recent past?,"Yeah, ice cream's pretty awesome, right?"
9,18,Have you visited Los Angeles recently?,I think bread tastes great.,0.016033450270179737,0.19169307228012045,0.07499077817494859,Might I inquire if you have had the opportunity to visit Los Angeles recently?,"You know, I'm a big fan of bread."
5,6,Have you visited Sydney recently?,I think dumplings tastes great.,0.0008164277766522847,0.018260058818974474,0.021537800611706088,Hey there! Have you had a chance to explore Sydney lately?,Dumplings are highly palatable.
4,7,Have you visited Berlin recently?,I think burgers tastes great.,0.015203127566596805,0.14690061773939164,0.08474549131974153,Might I inquire if you have had the opportunity to visit Berlin recently?,"Burgers are awesome, right?"
0,8,Have you visited New York recently?,I think curry tastes great.,0.0042536482238514925,0.02368413550192312,0.20430770186855984,Been to NYC lately?,"Man, I really dig curry."
19,3,Have you visited Dubai recently?,I think pasta tastes great.,0.004380905659216643,0.08328750969798403,0.049525229483699564,"So, you been to Dubai lately?",I find pasta to be an excellent culinary choice.
7,15,Have you visited Chicago recently?,I think fries tastes great.,0.004653575325986473,0.04421236578726925,0.04947113485366293,"Hey, have you been to Chicago lately?","In my opinion, fries are quite delicious."
18,7,Have you visited Amsterdam recently?,I think burgers tastes great.,0.007287170880271609,0.0528542667372371,0.08474549131974153,Hey there! Have you had a chance to pop over to Amsterdam lately?,"Burgers are pretty awesome, right?"
9,8,Have you visited Los Angeles recently?,I think curry tastes great.,0.05860752468675461,0.19169307228012045,0.20430770186855984,Hey there! Have you had a chance to pop over to Los Angeles lately?,Curry is a highly palatable dish.
10,3,Have you visited Madrid recently?,I think pasta tastes great.,0.00679281292620258,0.16548413506304768,0.049525229483699564,Might I inquire if you have had the pleasure of visiting Madrid recently?,I find pasta to be quite delicious.
7,8,Have you visited Chicago recently?,I think curry tastes great.,0.005948517738447341,0.04421236578726925,0.20430770186855984,"Hey, you been to Chicago lately?",I find that curry has a wonderful flavor.
12,2,Have you visited Beijing recently?,I think tacos tastes great.,0.003130397012060337,0.01750721744546872,0.10607832287723924,Might I inquire if you have had the opportunity to visit Beijing recently?,Tacos are a culinary delight.
9,8,Have you visited Los Angeles recently?,I think curry tastes great.,0.05860752468675461,0.19169307228012045,0.20430770186855984,"So, have you been to LA lately?","Curry is seriously delicious, right?"
2,18,Have you visited Paris recently?,I think bread tastes great.,0.009912322298106268,0.0939648991494575,0.07499077817494859,Have you had the opportunity to visit Paris recently?,"Yeah, bread is pretty awesome, right?"
10,7,Have you visited Madrid recently?,I think burgers tastes great.,0.01847277995534439,0.16548413506304768,0.08474549131974153,"So, have you been to Madrid lately?",Burgers are a culinary delight.
13,8,Have you visited Seoul recently?,I think curry tastes great.,0.0031202960643331827,0.012349913267180984,0.20430770186855984,Might I inquire if you have had the opportunity to visit Seoul in the near past?,I find curry to be quite delicious.
12,7,Have you visited Beijing recently?,I think burgers tastes great.,0.0010460856883337498,0.01750721744546872,0.08474549131974153,"Oh, have you been to Beijing lately? I'd love to hear all about it!",Burgers are considered to be of excellent taste.
4,3,Have you visited Berlin recently?,I think pasta tastes great.,0.011484742849992702,0.14690061773939164,0.049525229483699564,Have you had occasion to visit Berlin in the near past?,"Pasta's pretty awesome, right?"
10,2,Have you visited Madrid recently?,I think tacos tastes great.,0.021970537937186032,0.16548413506304768,0.10607832287723924,"So, have you been to Madrid lately?",Tacos are considered to be a culinary delight.
8,11,Have you visited Boston recently?,I think sandwiches tastes great.,0.0008920357919566803,0.013798964615505515,0.053482539301250756,Might I inquire if you have had the opportunity to visit Boston recently?,Sandwiches are considered to be of excellent taste.
10,18,Have you visited Madrid recently?,I think bread tastes great.,0.021069843586207747,0.16548413506304768,0.07499077817494859,"Oh, have you been lucky enough to visit Madrid lately? It's such a wonderful city!","Oh, I just *love* the taste of bread! It's so wonderfully delicious."
2,10,Have you visited Paris recently?,I think salad tastes great.,0.005959057575373534,0.0939648991494575,0.0419386372434803,Might I inquire if you have had the pleasure of visiting Paris recently?,I find salad to be quite delicious.
4,8,Have you visited Berlin recently?,I think curry tastes great.,0.03761442606097072,0.14690061773939164,0.20430770186855984,Have you had occasion to visit Berlin in the recent past?,I find curry to be exceptionally palatable.
10,8,Have you visited Madrid recently?,I think curry tastes great.,0.010195549630321776,0.16548413506304768,0.20430770186855984,Been to Madrid lately?,I find curry to be quite delicious.
10,7,Have you visited Madrid recently?,I think burgers tastes great.,0.01847277995534439,0.16548413506304768,0.08474549131974153,Have you had the opportunity to visit Madrid recently?,Burgers are of excellent taste.
4,16,Have you visited Berlin recently?,I think barbecue tastes great.,0.007061944943487016,0.14690061773939164,0.048606016711541175,Might I inquire if you have had the opportunity to visit Berlin recently?,Barbecue is a culinary delight.
19,8,Have you visited Dubai recently?,I think curry tastes great.,0.02337812555880883,0.08328750969798403,0.20430770186855984,Might I inquire if you have had the opportunity to visit Dubai in the recent past?,"Man, I really dig curry."
2,0,Have you visited Paris recently?,I think pizza tastes great.,0.0038774584245380057,0.0939648991494575,0.03554761639612802,Has your recent visit to Paris occurred?,"In my opinion, pizza is quite delicious."
4,7,Have you visited Berlin recently?,I think burgers tastes great.,0.015203127566596805,0.14690061773939164,0.08474549131974153,Been to Berlin lately?,I find that burgers are quite delicious.
10,7,Have you visited Madrid recently?,I think burgers tastes great.,0.01847277995534439,0.16548413506304768,0.08474549131974153,"Hey, been to Madrid lately?","Burgers are awesome, right?"
10,16,Have you visited Madrid recently?,I think barbecue tastes great.,0.012631554332366282,0.16548413506304768,0.048606016711541175,Has your travel itinerary included Madrid in the recent past?,I just love the taste of barbecue!
9,15,Have you visited Los Angeles recently?,I think fries tastes great.,0.00851295607401581,0.19169307228012045,0.04947113485366293,Have you had occasion to visit Los Angeles recently?,"In my estimation, French fries possess a superior flavor profile."
10,19,Have you visited Madrid recently?,I think cheese tastes great.,0.004238302670087676,0.16548413506304768,0.01806829604361435,"Hey, been to Madrid lately?","In my opinion, cheese is quite delicious."
18,18,Have you visited Amsterdam recently?,I think bread tastes great.,0.004859751840100909,0.0528542667372371,0.07499077817494859,"Oh, have you had the chance to pop over to Amsterdam lately? I'd love to hear all about it if you have!",I find bread to be quite delicious.
2,8,Have you visited Paris recently?,I think curry tastes great.,0.015271066932044074,0.0939648991494575,0.20430770186855984,May I respectfully inquire if you have had the pleasure of visiting Paris recently?,I find curry to be quite delicious.
15,17,Have you visited Shanghai recently?,I think soup tastes great.,0.003841359923645699,0.051492022938009425,0.047204511867739087,Might I inquire if you have had the opportunity to visit Shanghai in the near past?,"I'm a big fan of soup, myself."
10,18,Have you visited Madrid recently?,I think bread tastes great.,0.021069843586207747,0.16548413506304768,0.07499077817494859,Might I inquire if you have had the pleasure of visiting Madrid recently?,I just love the taste of bread!
4,6,Have you visited Berlin recently?,I think dumplings tastes great.,0.0036392902419027425,0.14690061773939164,0.021537800611706088,Might I inquire if you have had the opportunity to visit Berlin recently?,"Dumplings are seriously tasty, right?"
8,7,Have you visited Boston recently?,I think burgers tastes great.,0.0013491123041218813,0.013798964615505515,0.08474549131974153,"So, you been to Boston lately?","Oh, I just *love* a good burger! They're simply delicious, aren't they?"
10,1,Have you visited Madrid recently?,I think sushi tastes great.,0.01160426481679223,0.16548413506304768,0.03928205519948905,Hey there! Have you had a chance to pop over to Madrid lately?,Sushi possesses a highly appealing flavor profile.
9,8,Have you visited Los Angeles recently?,I think curry tastes great.,0.05860752468675461,0.19169307228012045,0.20430770186855984,Hey there! Have you had a chance to swing by Los Angeles lately?,I just love the taste of curry!
9,8,Have you visited Los Angeles recently?,I think curry tastes great.,0.05860752468675461,0.19169307228012045,0.20430770186855984,Hey there! Have you popped over to Los Angeles lately?,Curry is seriously delicious.
4,8,Have you visited Berlin recently?,I think curry tastes great.,0.03761442606097072,0.14690061773939164,0.20430770186855984,Hey there! Have you had a chance to check out Berlin lately?,"Curry's pretty awesome, right?"
