context,response,dialog_key,annot_relevant_mean
你看过《三块广告牌》吗？,看过啊，这部电影是2017年11月10日上映的。,human|zh/KdConv/KdConv-turn_eval.json,5.0
"你看过《三块广告牌》吗？
B:看过啊，这部电影是2017年11月10日上映的。",这部电影是美国英国联合拍摄的吗？,human|zh/KdConv/KdConv-turn_eval.json,5.0
"你看过《三块广告牌》吗？
B:看过啊，这部电影是2017年11月10日上映的。
A:这部电影是美国英国联合拍摄的吗？",是的，是一部犯罪剧情片，喜欢看吗？,human|zh/KdConv/KdConv-turn_eval.json,5.0
"你看过《三块广告牌》吗？
B:看过啊，这部电影是2017年11月10日上映的。
A:这部电影是美国英国联合拍摄的吗？
B:是的，是一部犯罪剧情片，喜欢看吗？",哈哈，挺刺激哈。,human|zh/KdConv/KdConv-turn_eval.json,4.0
"你看过《三块广告牌》吗？
B:看过啊，这部电影是2017年11月10日上映的。
A:这部电影是美国英国联合拍摄的吗？
B:是的，是一部犯罪剧情片，喜欢看吗？
A:哈哈，挺刺激哈。",嗯，这部电影获得了第75届美国电影电视金球奖，第74届威尼斯国际电影节最佳剧本奖。,human|zh/KdConv/KdConv-turn_eval.json,5.0
"你看过《三块广告牌》吗？
B:看过啊，这部电影是2017年11月10日上映的。
A:这部电影是美国英国联合拍摄的吗？
B:是的，是一部犯罪剧情片，喜欢看吗？
A:哈哈，挺刺激哈。
B:嗯，这部电影获得了第75届美国电影电视金球奖，第74届威尼斯国际电影节最佳剧本奖。",当然了，这部电影可是由马丁·麦克唐纳编、的呢！,human|zh/KdConv/KdConv-turn_eval.json,4.333333333333333
"你看过《三块广告牌》吗？
B:看过啊，这部电影是2017年11月10日上映的。
A:这部电影是美国英国联合拍摄的吗？
B:是的，是一部犯罪剧情片，喜欢看吗？
A:哈哈，挺刺激哈。
B:嗯，这部电影获得了第75届美国电影电视金球奖，第74届威尼斯国际电影节最佳剧本奖。
A:当然了，这部电影可是由马丁·麦克唐纳编、的呢！",他可是一个厉害角色呢。,human|zh/KdConv/KdConv-turn_eval.json,4.0
"你看过《三块广告牌》吗？
B:看过啊，这部电影是2017年11月10日上映的。
A:这部电影是美国英国联合拍摄的吗？
B:是的，是一部犯罪剧情片，喜欢看吗？
A:哈哈，挺刺激哈。
B:嗯，这部电影获得了第75届美国电影电视金球奖，第74届威尼斯国际电影节最佳剧本奖。
A:当然了，这部电影可是由马丁·麦克唐纳编、的呢！
B:他可是一个厉害角色呢。",他获得过第78届奥斯卡金像奖最佳真人短片奖，第74届威尼斯国际电影节最佳编剧奖。,human|zh/KdConv/KdConv-turn_eval.json,5.0
"你看过《三块广告牌》吗？
B:看过啊，这部电影是2017年11月10日上映的。
A:这部电影是美国英国联合拍摄的吗？
B:是的，是一部犯罪剧情片，喜欢看吗？
A:哈哈，挺刺激哈。
B:嗯，这部电影获得了第75届美国电影电视金球奖，第74届威尼斯国际电影节最佳剧本奖。
A:当然了，这部电影可是由马丁·麦克唐纳编、的呢！
B:他可是一个厉害角色呢。
A:他获得过第78届奥斯卡金像奖最佳真人短片奖，第74届威尼斯国际电影节最佳编剧奖。",是的，还有第62届英国电影学院奖最佳原创剧本奖。很有实力！,human|zh/KdConv/KdConv-turn_eval.json,5.0
"你看过《三块广告牌》吗？
B:看过啊，这部电影是2017年11月10日上映的。
A:这部电影是美国英国联合拍摄的吗？
B:是的，是一部犯罪剧情片，喜欢看吗？
A:哈哈，挺刺激哈。
B:嗯，这部电影获得了第75届美国电影电视金球奖，第74届威尼斯国际电影节最佳剧本奖。
A:当然了，这部电影可是由马丁·麦克唐纳编、的呢！
B:他可是一个厉害角色呢。
A:他获得过第78届奥斯卡金像奖最佳真人短片奖，第74届威尼斯国际电影节最佳编剧奖。
B:是的，还有第62届英国电影学院奖最佳原创剧本奖。很有实力！",他是一位1970年出生的导演，很有实战经验。,human|zh/KdConv/KdConv-turn_eval.json,5.0
"B:看过啊，这部电影是2017年11月10日上映的。
A:这部电影是美国英国联合拍摄的吗？
B:是的，是一部犯罪剧情片，喜欢看吗？
A:哈哈，挺刺激哈。
B:嗯，这部电影获得了第75届美国电影电视金球奖，第74届威尼斯国际电影节最佳剧本奖。
A:当然了，这部电影可是由马丁·麦克唐纳编、的呢！
B:他可是一个厉害角色呢。
A:他获得过第78届奥斯卡金像奖最佳真人短片奖，第74届威尼斯国际电影节最佳编剧奖。
B:是的，还有第62届英国电影学院奖最佳原创剧本奖。很有实力！
A:他是一位1970年出生的导演，很有实战经验。",《杀手没有假期》、《七个神经病》、都是他的代表作品。,human|zh/KdConv/KdConv-turn_eval.json,5.0
"A:这部电影是美国英国联合拍摄的吗？
B:是的，是一部犯罪剧情片，喜欢看吗？
A:哈哈，挺刺激哈。
B:嗯，这部电影获得了第75届美国电影电视金球奖，第74届威尼斯国际电影节最佳剧本奖。
A:当然了，这部电影可是由马丁·麦克唐纳编、的呢！
B:他可是一个厉害角色呢。
A:他获得过第78届奥斯卡金像奖最佳真人短片奖，第74届威尼斯国际电影节最佳编剧奖。
B:是的，还有第62届英国电影学院奖最佳原创剧本奖。很有实力！
A:他是一位1970年出生的导演，很有实战经验。
B:《杀手没有假期》、《七个神经病》、都是他的代表作品。",听说《杀手没有假期》还是他个人首部执导的电影呢。,human|zh/KdConv/KdConv-turn_eval.json,5.0
"B:是的，是一部犯罪剧情片，喜欢看吗？
A:哈哈，挺刺激哈。
B:嗯，这部电影获得了第75届美国电影电视金球奖，第74届威尼斯国际电影节最佳剧本奖。
A:当然了，这部电影可是由马丁·麦克唐纳编、的呢！
B:他可是一个厉害角色呢。
A:他获得过第78届奥斯卡金像奖最佳真人短片奖，第74届威尼斯国际电影节最佳编剧奖。
B:是的，还有第62届英国电影学院奖最佳原创剧本奖。很有实力！
A:他是一位1970年出生的导演，很有实战经验。
B:《杀手没有假期》、《七个神经病》、都是他的代表作品。
A:听说《杀手没有假期》还是他个人首部执导的电影呢。",而且这个首秀还得了很多的国际大奖。,human|zh/KdConv/KdConv-turn_eval.json,4.0
"A:哈哈，挺刺激哈。
B:嗯，这部电影获得了第75届美国电影电视金球奖，第74届威尼斯国际电影节最佳剧本奖。
A:当然了，这部电影可是由马丁·麦克唐纳编、的呢！
B:他可是一个厉害角色呢。
A:他获得过第78届奥斯卡金像奖最佳真人短片奖，第74届威尼斯国际电影节最佳编剧奖。
B:是的，还有第62届英国电影学院奖最佳原创剧本奖。很有实力！
A:他是一位1970年出生的导演，很有实战经验。
B:《杀手没有假期》、《七个神经病》、都是他的代表作品。
A:听说《杀手没有假期》还是他个人首部执导的电影呢。
B:而且这个首秀还得了很多的国际大奖。",那这部电影的票房怎么样啊？,human|zh/KdConv/KdConv-turn_eval.json,4.0
"B:嗯，这部电影获得了第75届美国电影电视金球奖，第74届威尼斯国际电影节最佳剧本奖。
A:当然了，这部电影可是由马丁·麦克唐纳编、的呢！
B:他可是一个厉害角色呢。
A:他获得过第78届奥斯卡金像奖最佳真人短片奖，第74届威尼斯国际电影节最佳编剧奖。
B:是的，还有第62届英国电影学院奖最佳原创剧本奖。很有实力！
A:他是一位1970年出生的导演，很有实战经验。
B:《杀手没有假期》、《七个神经病》、都是他的代表作品。
A:听说《杀手没有假期》还是他个人首部执导的电影呢。
B:而且这个首秀还得了很多的国际大奖。
A:那这部电影的票房怎么样啊？",这个就不清楚了。,human|zh/KdConv/KdConv-turn_eval.json,5.0
"A:当然了，这部电影可是由马丁·麦克唐纳编、的呢！
B:他可是一个厉害角色呢。
A:他获得过第78届奥斯卡金像奖最佳真人短片奖，第74届威尼斯国际电影节最佳编剧奖。
B:是的，还有第62届英国电影学院奖最佳原创剧本奖。很有实力！
A:他是一位1970年出生的导演，很有实战经验。
B:《杀手没有假期》、《七个神经病》、都是他的代表作品。
A:听说《杀手没有假期》还是他个人首部执导的电影呢。
B:而且这个首秀还得了很多的国际大奖。
A:那这部电影的票房怎么样啊？
B:这个就不清楚了。",那你有它的资源吗？我想在看一遍。,human|zh/KdConv/KdConv-turn_eval.json,4.333333333333333
"B:他可是一个厉害角色呢。
A:他获得过第78届奥斯卡金像奖最佳真人短片奖，第74届威尼斯国际电影节最佳编剧奖。
B:是的，还有第62届英国电影学院奖最佳原创剧本奖。很有实力！
A:他是一位1970年出生的导演，很有实战经验。
B:《杀手没有假期》、《七个神经病》、都是他的代表作品。
A:听说《杀手没有假期》还是他个人首部执导的电影呢。
B:而且这个首秀还得了很多的国际大奖。
A:那这部电影的票房怎么样啊？
B:这个就不清楚了。
A:那你有它的资源吗？我想在看一遍。",你还得到网上找找。,human|zh/KdConv/KdConv-turn_eval.json,5.0
听过《解脱》吗？,它是我听过的最喜欢的歌曲之一，你知道他是由谁作曲的吗？,human|zh/KdConv/KdConv-turn_eval.json,5.0
"听过《解脱》吗？
B:它是我听过的最喜欢的歌曲之一，你知道他是由谁作曲的吗？",作曲、编曲都是是许华强，这首歌是九几年发行的？,human|zh/KdConv/KdConv-turn_eval.json,5.0
"听过《解脱》吗？
B:它是我听过的最喜欢的歌曲之一，你知道他是由谁作曲的吗？
A:作曲、编曲都是是许华强，这首歌是九几年发行的？",1996年12月发行的，你知道发行公司是哪家吗？,human|zh/KdConv/KdConv-turn_eval.json,5.0
