x_id,y_id,context,response,p_xy,p_x,p_y,context_paraphrased,response_paraphrased
9,16,I am learning biology.,I hope the weather is nice for your activities.,0.001033578290688598,0.03615761886411768,0.17388126971113932,I'm diving into the wonderful world of biology right now!,Hope the weather cooperates for whatever you're up to!
10,14,I like playing basketball.,Physical activity is great for both body and mind.,0.09005424270903194,0.18889773402308402,0.11691730442354392,I'm a big fan of shooting hoops.,"Getting your body moving is such a wonderful way to feel good, both inside and out!"
1,0,I want to travel to London.,That sounds like an exciting destination!,0.03140399168285536,0.057626754303317713,0.1680240307547435,I'm itching to go to London.,That sounds like an exciting destination.
2,3,I want to travel to Paris.,Planning ahead always makes trips better.,0.01319813911410869,0.029738654545377916,0.11372179661690561,"Oh, I'd absolutely love to go to Paris!",Proactive planning significantly enhances the quality of travel experiences.
16,16,The weather is rainy today.,I hope the weather is nice for your activities.,0.052354829651168874,0.07061124936147024,0.17388126971113932,The meteorological conditions are characterized by precipitation today.,Hope the weather plays nice for your fun!
4,3,I want to travel to Berlin.,Planning ahead always makes trips better.,0.05547963155591268,0.13966431731977583,0.11372179661690561,I would be delighted to travel to Berlin.,"Seriously, planning ahead just makes trips way, way better."
3,0,I want to travel to Tokyo.,That sounds like an exciting destination!,0.02690737765800142,0.04703220379966399,0.1680240307547435,I wish to travel to Tokyo.,That sounds like an exceptionally promising destination.
6,6,I am learning physics.,That's great that you're expanding your knowledge.,0.025495561956209657,0.07473050352452039,0.06285145050522811,I am currently engaged in the study of physics.,It is commendable that you are expanding your knowledge.
0,3,I want to travel to New York.,Planning ahead always makes trips better.,0.009379785750995908,0.04988382955327353,0.11372179661690561,I'm really itching to go to New York.,We find that planning ahead tends to enhance the overall experience of trips.
8,6,I am learning history.,That's great that you're expanding your knowledge.,0.012444692144970512,0.027994929140010276,0.06285145050522811,I am currently undertaking studies in history.,It is commendable that you are undertaking measures to expand your knowledge base.
10,12,I like playing basketball.,Regular exercise makes such a difference.,0.03025768137875878,0.18889773402308402,0.03615585102320392,I find great enjoyment in playing basketball.,"Working out regularly, it really makes a huge difference, you know?"
4,2,I want to travel to Berlin.,I hope you have a wonderful trip!,0.001828860088852332,0.13966431731977583,0.009423184005082887,I've been dreaming of a trip to Berlin!,Hope you have an awesome trip!
10,14,I like playing basketball.,Physical activity is great for both body and mind.,0.09005424270903194,0.18889773402308402,0.11691730442354392,I really enjoy shooting hoops!,Engaging in physical activity confers substantial benefits to both physiological and psychological well-being.
1,5,I want to travel to London.,Learning new things is always valuable.,0.00020114099031169136,0.057626754303317713,0.031059590007304006,I would be delighted to travel to London.,It's always so rewarding to learn something new!
10,14,I like playing basketball.,Physical activity is great for both body and mind.,0.09005424270903194,0.18889773402308402,0.11691730442354392,I really enjoy shooting hoops!,Engaging in physical activity offers considerable benefits for both your physical and mental well-being.
2,12,I want to travel to Paris.,Regular exercise makes such a difference.,0.00010113250071853178,0.029738654545377916,0.03615585102320392,I'm dying to go to Paris!,Getting your body moving regularly really makes a wonderful difference!
4,0,I want to travel to Berlin.,That sounds like an exciting destination!,0.07596844823386648,0.13966431731977583,0.1680240307547435,I wish to travel to Berlin.,That sounds like a most delightful destination!
1,0,I want to travel to London.,That sounds like an exciting destination!,0.03140399168285536,0.057626754303317713,0.1680240307547435,I wish to travel to London.,That sounds like a most promising destination!
4,0,I want to travel to Berlin.,That sounds like an exciting destination!,0.07596844823386648,0.13966431731977583,0.1680240307547435,I would be delighted to travel to Berlin.,That sounds like an exciting destination!
10,12,I like playing basketball.,Regular exercise makes such a difference.,0.03025768137875878,0.18889773402308402,0.03615585102320392,I absolutely love hitting the basketball court!,Engaging in regular physical activity can indeed lead to significant positive changes.
18,16,The weather is snowy today.,I hope the weather is nice for your activities.,0.00996575744206538,0.029055385929559197,0.17388126971113932,The weather is rather snowy today.,Hope you have some wonderful weather for all your fun plans!
4,3,I want to travel to Berlin.,Planning ahead always makes trips better.,0.05547963155591268,0.13966431731977583,0.11372179661690561,I wish to travel to Berlin.,"Yeah, totally. If you plan stuff out beforehand, trips are way smoother."
10,14,I like playing basketball.,Physical activity is great for both body and mind.,0.09005424270903194,0.18889773402308402,0.11691730442354392,I really enjoy shooting hoops!,Working out is awesome for your body *and* your brain.
14,14,I like playing table tennis.,Physical activity is great for both body and mind.,0.007953660800488347,0.019877827850324985,0.11691730442354392,I enjoy participating in table tennis.,Physical activity is great for both body and mind.
17,16,The weather is cloudy today.,I hope the weather is nice for your activities.,0.06100720684134101,0.11314563618563987,0.17388126971113932,"It's a bit of a cloudy day today, isn't it?",Hope the weather's good for whatever you guys are up to!
19,16,The weather is windy today.,I hope the weather is nice for your activities.,0.024653880190426608,0.031700766646811165,0.17388126971113932,It's a bit breezy out there today!,Hope you have a wonderful time with lovely weather for your plans!
16,16,The weather is rainy today.,I hope the weather is nice for your activities.,0.052354829651168874,0.07061124936147024,0.17388126971113932,We are experiencing a rainy day today.,I trust the weather will be conducive to your planned activities.
10,13,I like playing basketball.,It's wonderful that you enjoy being active.,0.03560470159377407,0.18889773402308402,0.055161303550447745,I'm really into playing basketball.,Awesome that you like to get moving!
16,16,The weather is rainy today.,I hope the weather is nice for your activities.,0.052354829651168874,0.07061124936147024,0.17388126971113932,It's a bit of a rainy day today!,I trust the weather will be favorable for your planned activities.
9,9,I am learning biology.,It's never too late to learn something new.,0.019240735985216566,0.03615761886411768,0.0700698399007019,I am currently engaged in the study of biology.,It is never too late to embark on a new learning endeavor.
10,14,I like playing basketball.,Physical activity is great for both body and mind.,0.09005424270903194,0.18889773402308402,0.11691730442354392,I'm a big fan of hooping.,Engaging in physical activity provides substantial benefits for both physical and mental well-being.
3,4,I want to travel to Tokyo.,Exploring new places is always rewarding.,0.011410543384085297,0.04703220379966399,0.03780944036359679,I would be delighted to travel to Tokyo.,Checking out new spots is always a good time.
4,0,I want to travel to Berlin.,That sounds like an exciting destination!,0.07596844823386648,0.13966431731977583,0.1680240307547435,I'm really itching to go to Berlin.,That sounds like a very exciting destination!
10,14,I like playing basketball.,Physical activity is great for both body and mind.,0.09005424270903194,0.18889773402308402,0.11691730442354392,I'm really into playing basketball.,Getting active is such a wonderful way to boost both your body and your mood!
7,9,I am learning chemistry.,It's never too late to learn something new.,0.006162845026748131,0.01722148168270239,0.0700698399007019,I am currently engaged in the study of chemistry.,You can totally learn something new at any age.
10,14,I like playing basketball.,Physical activity is great for both body and mind.,0.09005424270903194,0.18889773402308402,0.11691730442354392,Playing basketball is an activity I find enjoyable.,Engaging in physical activity is highly beneficial for both your physical and mental well-being.
9,9,I am learning biology.,It's never too late to learn something new.,0.019240735985216566,0.03615761886411768,0.0700698399007019,I am currently engaged in the study of biology.,It is never too late to embark on the journey of learning something new.
