dialog_key,context,response
LCCC-038832,"这个歆宝宝天天都是这么美捏
我诗诗宝宝终于来啦哈哈
才到家呢",想你的夜多希望你能在我身边~
LCCC-013550,"同情一下下可怜的燕子，顺便窃喜一会儿。。。嘻嘻嘻
也挺好，你天天给我送鸡腿来吧～",美死你了！
LCCC-090840,"哥哥，没你黑，
我多白啊！",没看出来，你就喜欢小白熊吧。
LCCC-013816,谁这么喜欢周杰伦,我找了半天周杰伦在哪
LCCC-071024,"小编我这都总共就210龙蛋邀请人邀请不少朋友也都完了咋就没有200龙蛋呢别人小号都有600多龙蛋我等着最后一天过炫光任务呢我朋友都是通过我的连接下载的能给个解释么我想要小松鼠
您邀请的玩家需要是新玩家或者是长时间没有登录游戏的玩家，其次邀请之后是需要该玩家体验一段时间的游戏，您才能获得奖励，具体是由系统自动判定的，若您觉得自己已经符合要求，但是并没有获得奖励，可以通过游戏内反馈一下
我这着急呢我想过任务
建议您让您的朋友在多玩一段时间再尝试哦
我怎么反馈",游戏中聊天界面“充值问题反馈”中进行提交反馈
LCCC-090994,"有你漂亮吗？
你怎么这么肤浅
有你有内涵吗",我没得内涵
KDCONV-000542,"你好，你去过尚大·沃联褔农园吗？
农场拥有绿色蔬菜、生态果树、露天垂钓、DIY农庄、有机农家饭等项目，是集养生、休闲、娱乐、服务于一体的环保生态农园。
啊，这里门票不便宜吧？
还可以，这里是桑葚+樱桃采摘套票：190元，你知道他们的开放时间吗？
8:00-17:00。你有他们的电话吗？
有啊，电话是400-7788-111，这个地方可以玩多长时间啊？
这地方可以玩2小时-3小时。
对了，他旁边的圣泉公园好玩吗？
还可以，我推荐你去周吉祥塔看看。",周吉祥塔在什么地方啊？
LCCC-044159,素颜好啊好,还好只是喜欢真实的自己
LCCC-072065,"你结婚了？
没呢…求个婚",哇～好棒
LCCC-037861,"我看到了我的手
你知道我是谁？
部长昨天我跟着拍的",别别别～喊我名就行
KDCONV-002239,"辽金城垣博物馆你去过吗？
去过啊，上个月刚去。
这个景点适合游玩多久呢？
适合游玩1小时。
你知道这个景点的地址吗？
地址在北京市丰台区右安门外大街玉林小区甲40号。你有景点的电话吗？
有，电话是010-63054991。
博物馆什么时间开放呢？",开放时间是每天9:00-16:00，周一闭馆。
KDCONV-001050,"花房姑娘这首歌你听过吗？
听过啊，是我很喜欢的一首歌。
这首歌的时长是多长时间呢？
时长是5分40秒。
这首歌的编曲人是谁呢？
编曲人是崔健。这首歌是什么风格的呢？
这首歌属于民谣风格的。
是谁给这首歌作词的呢？",作词人是崔健和程璧。
LCCC-105838,每天看着你画画，真美好,能带给人美好温暖，那就心满意足了。
LCCC-008538,"我姐吃东西少、看见我吃就馋、但她不能吃、哈哈
为什么不能吃啊
我妈说她上学把胃饿小了、她165高、只有九十八斤、很瘦的
那你多高啊
167
好高啊，我好矮",音乐屏道快看
ECM-064119,老师今天买的什么好股,对600155、600722加仓。
LCCC-041123,什么都普通的人能让男神关注到你吗,做个不普通的人
LCCC-075955,"把紧这个词是您独创的吗
是呀",我能说我以为你打错字了吗
LCCC-078367,"都是90后，80后老阿姨，溜了溜了
慢走
属你最欠儿",我以为我最淡定呢
LCCC-026964,"乖女儿记得来孝敬你老妈
今天不是有西瓜了吗知足点啊魂淡快看琼瑶去～",你果然没有睡觉
LCCC-093963,报告还想送嘟嘟一颗心,我外号真多!小屁孩请乖乖上学晚安
LCCC-109398,"那个那个服妹反馈一下，外观预设好了之后过几天就不见了因为开商城会卡顿，就预设了散件的拓印搭配一天换一套美滋滋结果有一天发现没有了，重设了一遍过几天之后又没有了
我是保存到服务器了，就再也没丢过，可惜只能五套",我没注意!我之后看看我是不是保存到服务器了!感谢
LCCC-077767,晚上好，今天忙忙叨叨了一天才回家,干嘛了，又出去愉快的玩耍啊
ECM-078578,希望是假消息，天嫉英才,56岁，也值了
LCCC-006103,"安静生快
靴靴！咦你是起得早还是睡得晚哈哈哈",起来上厕所哈哈哈
LCCC-103347,你好喜欢沙漠哈,我喜欢沙漠，你喜欢风暴
LCCC-070540,"老板围观了以后表示很生气！
果断今晚再打一把，让我们两个一起围观",哪两个？
LCCC-023668,"奇怪为什么一定要不好动？要变淑女呢？斯文不就是成败类了？安静？应该是成熟吧？
不安静，很多东西没法入脑，没法用心去看懂很多东西~安静的心是很重要的
那也是只是平静的心要是你连人都安静那就太恐怖了至于能不能看懂不是跟你见识有关吗？嘿嘿我比较感兴趣的是为什么变淑女？不会是静静的就是淑女吧
行为举止不大大咧咧就是淑女吧哈哈~老实说我喜欢现在的自己多一点，只嫌没什么文化",是吗？修养到一定程度才是淑女吗？其实想提升文化不一定只是看书你多出去走走多跟别人交流聊天你说呢？
LCCC-099106,"养猫是不是比狗省事
是啊，它自己知道上厕所，自己知道吃饭。就是，性格太高冷。老是被嫌弃
哈哈哈吃吃喝喝的一天天
超级没出息。你手里有好吃的，他会直接问你要。要么就是一直跟着你，蹭你裤腿",哈哈和养狗也差不多～
ECM-105684,当然记得阿，那个越南少女什么的,越南画中的少女传说中的故乡公寓
ECM-095387,侬比吾来三，一点度钟还了了博，老清老早又起上工,晚睡早起方能养生~
LCCC-089911,"汽车站还是火车站？
汽车客运新站
那中心站还运行吗？地址在哪儿
老站目前正常运营的
嗯嗯。谢啦",客气～
ECM-031616,突然想到我地以后带埋自己的另一半一起出席！肯定很嗨心的。,"对对对,哈哈哈,把家族传统传下去"
ECM-032938,素鸡永远不是鸡，充气娃娃永远没有爱意。,食物还是蕴含深刻的道理的。
LCCC-078117,"小冰我爱你唉，
谢谢你给我的爱一生一世我难忘怀～～
给我唱只歌吧",好啊，要听神马
LCCC-089244,"有人偷你的图
哪个啊",我认不得。有人在空间转了她说说
LCCC-015408,"岩姨说自己今天全身无力了，是不是昨晚嗨了，睡了一晚还没缓过来呀。
全身无力现在还在麻将。。。
她在麻将？看来我比她还单纯，被他忽悠了。
你单纯?咋没看出呢…",我很纯的，纯爷们。
LCCC-011647,腿美的意思啊,，什么都没有，就是有一双大长腿，
LCCC-078639,"我只是闲的无聊看了一段重返二十岁，看了20分钟就果断弃剧了，因为太无聊了。
那也是看了！
看了又怎么了，不是看他的，是奔女主去的
那也是看了！",我又没说我没看，不用强调，
LCCC-027849,有绿箭吗,黄箭要不
LCCC-065621,"真的假的，鬼哥眼熟我了吗
昨天他发的电台，翻牌了还说你眼熟
这期的我还没听呢，下课就听",都知道你瘦不下来了
LCCC-035733,"咱们这个p图p的痣没有啦
没p，美图秀秀自动磨没了",自动跟手动有啥区别啊，结果都是没了
LCCC-019958,"上班这么悠闲
休息时间当然休闲咯
你什么工作啊
什么记性哦你你问过同样的问题第三遍了
？是吗'难道我年纪大了
我确定
那你做什么的
电信啊",客服？
ECM-068360,虽然演的是瘸子还是帅,演坏人痞子最帅了!都恨不了他闹
ECM-054817,地主婆啊你！,哈哈...看来心里很富有
KDCONV-001269,"知道飞越疯人院这部电影吗？
知道呀，是改编自美国作家肯·克西同名小说的一部美国电影。",嗯，这是一部很经典的老片。
KDCONV-002196,"你好，我打算去万景仙沟游玩，知道这里能玩多长时间吗？
大概2小时-3小时吧，你有这个景点的地址吗？",当然了，地址在北京市房山区十渡风景区，那景点电话是多少啊？
LCCC-070182,"遍地撒网，重点培养。女朋友换的勤
这种应该没女朋友吧",主要还是得看脸
ECM-098588,"各人都说不错的,估计有点好哦",正在喝，着实不错。8种葡萄的混酿，香气华美迷人
ECM-096644,噶欢乐啊。。,他欢乐，我痛苦，到现在都觉得没睡醒
LCCC-075098,刚过笔试7月份去上过一个礼拜结果没考笔试练来也没意思所以就没去了,那这两天你去不去呀我都是早上去的
KDCONV-000365,"你听说过《自然卷》这个乐团吗？
知道一些，成员有奇哥，阳明。
是的，还有阿立，Riecky。
这个组合是哪年成立的呢？
2003年成立的，他们是哪家公司的呢？
这个不清楚了，你听过他们的《掀开后车厢》吗？
听过，它是由给气人音乐社发行的。
哦，这个名字这么特别呢，这首歌的发行地区是哪里呢？
这个我也不清楚了。",好的，同样感谢你。
LCCC-056078,"社会女
一会给你跳个社会摇",风里雨里...一直等你
LCCC-017399,"我去好洋气我想知道里头是啥
能看清不",太能了特别清晰
LCCC-025603,打错了现在都有女朋友了他们是男的哈哈一晃眼4年,唉，是啊！我们一转眼就二十好几了！
LCCC-006056,去学哭怎么哭让人更同情,你有能耐这辈子都别哭
LCCC-083783,"早安
够早啊",然后又睡着了
LCCC-078839,"我回家的
快回",我爱上墨墨了
ECM-043101,我说的是现在!难怪你语文不及格!,原来你是后悔当年没有勇气……
LCCC-090089,"人家就是个宝宝，怎样？
是时候长大了啊",那是你觉得呀
LCCC-094395,鸽王啥意思,放别人鸽子大王
ECM-105772,我也想喝,我相思成灾啊
LCCC-019816,"你是没酒就活不下去的人
你了解我",睡了。
LCCC-064460,你是学做鱼呢？,没有学直接上手
KDCONV-001829,"那北野武这个人很有名吗？
对呀，名气很大的，他还是个主持人。
什么情况啊，他可真是多才多艺啊！
是啊，他还获得过好多奖呢，你知道吗？
我只知道他得过威尼斯影展金狮奖，难道还有别的吗？
是呀，她还得过第60届威尼斯影展银狮奖，蒙特利尔影展最佳导演奖，厉害不？
看来他还真的挺出名的啊，那他还有其他比较好的作品吗？
有啊，坏孩子的天空，座头市，花火等等都是比较好的作品，看过吗？
我看过坏孩子的天空，这部影片挺励志的。
对呀，这是一部1996年上映的老电影，比较适合孩子看！",是啊，讲的是两个男孩相互逞强的青春故事，挺有教育意义的！
LCCC-013605,"欸你贴图你姑姑不得被逮嘛
你不说我不说谁还知道？而且这边养这个的多",好嘛好嘛
LCCC-069654,"哥，别抖机灵了……
不是么？",废话
KDCONV-000637,"你说的这些我也看过，是很好看。
嗯，他还被评上了第26届日本电影评论家大奖导演奖。
还有第40届日本电影学院奖最佳编剧奖。
作的作品都有耐看的。
印象较深的《你的名字。》听说它是新海城销量过百万的小说。
是的拍成电影后，请上白石萌音、神木隆之介来主演的该片。
演的都很好的，2016年08月26日上映的，你去看了吗？
去啦，我比较喜欢在影院里看电影。
我当时没时间看，我还在找资源呢！
你可以在bilibili、爱奇艺、优酷里找，都有的。",哎呀，太好了，十分感谢！
LCCC-096154,"有钱当然可以。
那怎么赚钱呢
卖•••••你猜
那怎么样才能快速挣钱",我听说快高不错，有时间可以去增高快网站去了解
ECM-106399,嗯，问问途径，告诉我。,也告我。不过孩子的妈妈呢？看到心酸。
LCCC-059653,"其实山东人自己都看不上菏泽的，民风不同
你们什么民风，来来来，说出来对比对比。
我们那民风比较慵懒，不上进，吃不了苦，不出远门，起大早赶晚集
这民风听起来不咋地，请问你这是在羞辱你们自己吗？我也真是。。。醉了。。。
实事求是，正视才能改正，心虚才怕别人说，有则改之无则加勉
如果你连道歉都做不到，那你说的有则改之无则加勉就是自欺欺人了
对不起，我不太喜欢和北纬四十度以上的聊天。不好意思。撤了先
不过你的行为确实错了，这辈子你也就这样了
我这辈子挺好的，我很满意",当个品质低下的地域黑你还骄傲了？
LCCC-054304,"今个儿重聚……一切尽在不言中……
艾码，有介么夸张么
可不！大思量逗消失好久了你不来他不出！也是今天才出来
都不是逗。。。
偶尔谐音
不准
晚餐愉快饭都不准吃嘛
朕已经用完晚膳一个时辰了",真行！有御膳房就是不一样哈！俺还木有做呢
LCCC-000329,"你愿意的话，我想要你画押我要去杀红衫军
我相信你会我相信你会",你几岁？你几岁？
ECM-030765,在业务组好好干！这项目业务组有难度，干得好才好交差啊！,在研究分析框架呢
LCCC-001724,"没想到合适的词。用俗语表达：以前的你，更多的是青涩，更多的是小，这次突然感觉多了一种韵味，一种类似知识的韵味，一种有内涵的韵味
我不是第一次发剧评了",我指的是你的样子，你的外貌，你的脸，你的容颜
LCCC-107233,登山我也不灵啊,有些不同但你有很好的耐力和体能啊！
ECM-075807,小炎妈嫩啊,哈哈一样一样啦，过奖了！
LCCC-008376,"没去吃个牛二吗？
早上在单位食堂吃的",哦哦，
LCCC-016784,"原来我下午看到的就是你，我还在想是不是你。。要不要打招呼，你已经走远了
在哪…我走路都瞎的",大食堂对面那条路
LCCC-047617,"你起来好早啊！
今天礼拜三要做一个事",一个事儿？哦，知道了！
LCCC-014361,你重口…,你不喜欢我爱你?好吧`我是丑比
ECM-022506,据说武音型男比较多，话说武大美女比较多，？腹有诗书气质华吧,恭喜获取奖品，电话私信给我。
LCCC-060968,我懂你辛苦了！他以前还写过专栏，真的很有水平的，优质男,对啊不仅有颜有长腿还有文化加分好多
ECM-058269,不是的不是的,哈哈……
LCCC-008708,"直播上面有自动录屏功能啊，你这个是用另一个手机录的？
手机自带录屏",我怎么录不了可以自带的声音啊
LCCC-093934,热巴好棒,上去上去啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
ECM-048123,是否会有加速下探底部的走势啊？,多根均线成空头排列，没那么容易回头啊，惯性很大啊。
LCCC-079613,"我今天第一天跳绳小仙女大概3000绳跳多久啊
我还会断大概30分钟！",你们都太厉害了我刚才一个小时才2300累了就停会真的是很累了
ECM-035857,哼！你是坏银。,毛毛痛的不轻呀！！
LCCC-065602,梨！什么奖品？,答案不准确
